2013-07-19,全銘柄日足,http://k-db.com/site/default.aspx
コード,銘柄名,市場,業種,始値,高値,安値,終値,出来高,売買代金
104-1312,TOPIX先物 2013年12月限,東証日中,先物,-,-,-,-,0,0.0
104-1312,TOPIX先物 2013年12月限,東証夜間,先物,-,-,-,-,0,0.0
104-1403,TOPIX先物 2014年03月限,東証日中,先物,-,-,-,-,0,0.0
104-1403,TOPIX先物 2014年03月限,東証夜間,先物,-,-,-,-,0,0.0
104-1406,TOPIX先物 2014年06月限,東証日中,先物,-,-,-,-,0,0.0
104-1406,TOPIX先物 2014年06月限,東証夜間,先物,-,-,-,-,0,0.0
104-1409,TOPIX先物 2014年09月限,東証日中,先物,-,-,-,-,0,0.0
104-1409,TOPIX先物 2014年09月限,東証夜間,先物,-,-,-,-,0,0.0
105-1309,ミニTOPIX先物 2013年09月限,東証日中,先物,1230.50,1233.75,1199.00,1215.75,11056,13430401.25
105-1309,ミニTOPIX先物 2013年09月限,東証夜間,先物,1217.50,1227.50,1217.50,1223.25,235,287200.75
105-1312,ミニTOPIX先物 2013年12月限,東証日中,先物,-,-,-,-,0,0.00
105-1312,ミニTOPIX先物 2013年12月限,東証夜間,先物,-,-,-,-,0,0.00
105-1403,ミニTOPIX先物 2014年03月限,東証日中,先物,-,-,-,-,0,0.00
105-1403,ミニTOPIX先物 2014年03月限,東証夜間,先物,-,-,-,-,0,0.00
106-1308,日経平均VI先物 2013年08月限,大証日中,先物,30.80,31.00,30.75,31.00,64,1979.15
106-1309,日経平均VI先物 2013年09月限,大証日中,先物,26.95,27.20,26.95,27.20,16,433.95
106-1310,日経平均VI先物 2013年10月限,大証日中,先物,-,-,-,-,0,0.00
106-1311,日経平均VI先物 2013年11月限,大証日中,先物,-,-,-,-,0,0.00
106-1312,日経平均VI先物 2013年12月限,大証日中,先物,-,-,-,-,0,0.00
106-1401,日経平均VI先物 2014年01月限,大証日中,先物,-,-,-,-,0,0.00
106-1402,日経平均VI先物 2014年02月限,大証日中,先物,-,-,-,-,0,0.00
106-1403,日経平均VI先物 2014年03月限,大証日中,先物,-,-,-,-,0,0.00
107-1309,Core30先物 2013年09月限,東証日中,先物,-,-,-,-,0,0.0
107-1309,Core30先物 2013年09月限,東証夜間,先物,-,-,-,-,0,0.0
107-1312,Core30先物 2013年12月限,東証日中,先物,-,-,-,-,0,0.0
107-1312,Core30先物 2013年12月限,東証夜間,先物,-,-,-,-,0,0.0
107-1403,Core30先物 2014年03月限,東証日中,先物,-,-,-,-,0,0.0
107-1403,Core30先物 2014年03月限,東証夜間,先物,-,-,-,-,0,0.0
108-1309,REIT先物 2013年09月限,東証日中,先物,1400.0,1400.0,1400.0,1400.0,1,1400.0
108-1309,REIT先物 2013年09月限,東証夜間,先物,-,-,-,-,0,0.0
108-1312,REIT先物 2013年12月限,東証日中,先物,-,-,-,-,0,0.0
108-1312,REIT先物 2013年12月限,東証夜間,先物,-,-,-,-,0,0.0
108-1403,REIT先物 2014年03月限,東証日中,先物,-,-,-,-,0,0.0
108-1403,REIT先物 2014年03月限,東証夜間,先物,-,-,-,-,0,0.0
109-1309,大証NYダウ先物 2013年09月限,大証日中,先物,15395,15401,15395,15401,6,92400
109-1309,大証NYダウ先物 2013年09月限,大証夜間,先物,15430,15496,15428,15428,3,46354
109-1312,大証NYダウ先物 2013年12月限,大証日中,先物,15200,15200,15200,15200,5,76000
109-1312,大証NYダウ先物 2013年12月限,大証夜間,先物,-,-,-,-,0,0
109-1403,大証NYダウ先物 2014年03月限,大証日中,先物,-,-,-,-,0,0
109-1403,大証NYダウ先物 2014年03月限,大証夜間,先物,-,-,-,-,0,0
109-1406,大証NYダウ先物 2014年06月限,大証日中,先物,-,-,-,-,0,0
109-1406,大証NYダウ先物 2014年06月限,大証夜間,先物,-,-,-,-,0,0
103-1309,日経300先物 2013年09月限,大証日中,先物,-,-,-,-,0,0.0
103-1309,日経300先物 2013年09月限,大証夜間,先物,-,-,-,-,0,0.0
103-1312,日経300先物 2013年12月限,大証日中,先物,-,-,-,-,0,0.0
103-1312,日経300先物 2013年12月限,大証夜間,先物,-,-,-,-,0,0.0
103-1403,日経300先物 2014年03月限,大証日中,先物,-,-,-,-,0,0.0
103-1403,日経300先物 2014年03月限,大証夜間,先物,-,-,-,-,0,0.0
103-1406,日経300先物 2014年06月限,大証日中,先物,-,-,-,-,0,0.0
103-1406,日経300先物 2014年06月限,大証夜間,先物,-,-,-,-,0,0.0
103-1409,日経300先物 2014年09月限,大証日中,先物,-,-,-,-,0,0.0
103-1409,日経300先物 2014年09月限,大証夜間,先物,-,-,-,-,0,0.0
1301-T,極洋,東証1部,水産・農林業,284,286,276,279,1998000,560491000
1305-T,ETFTPX,東証,その他,1258,1261,1228,1237,2749080,3413822860
1306-T,TOPIX投,東証,その他,1244,1248,1213,1225,6537840,8043368970
1308-T,上場TPX,東証,その他,1231,1234,1200,1213,788500,958207000
1309-T,上証50連,東証,その他,17500,17630,17120,17450,2396,41677430
1310-T,ETF･コア30,東証,その他,640,641,626,635,10460,6625930
1311-T,TOPIX30,東証,その他,658,661,647,654,53620,35171850
1312-T,RN小型コア,東証,その他,12930,12930,12760,12760,121,1556390
1313-T,KODEX200,東証,その他,2042,2081,2042,2081,100,205940
1314-T,上場新興,東証,その他,1063,1063,1022,1063,4500,4687000
1316-T,上場大型,東証,その他,815,815,795,795,1790,1442230
1317-T,上場中型,東証,その他,1291,1299,1273,1273,2160,2776690
1318-T,上場小型,東証,その他,1355,1355,1315,1319,1960,2628510
1319-F,300投信,福証,その他,-,-,-,-,0,0
1319-S,300投信,札証,その他,-,-,-,-,0,0
1319-T,300投信,東証,その他,219,220,214,214,26000,5675000
1320-T,ETF225,東証,その他,15120,15170,14600,14810,348806,5195067110
1321-T,225投信,東証,その他,15110,15160,14600,14800,1334089,19844242730
1322-T,上場パンタ,東証,その他,2850,2852,2815,2825,4180,11839400
1323-T,南ア40,東証,その他,345,346,345,346,600,207500
1324-T,RTS連動,東証,その他,126,128,126,128,39000,4953900
1325-T,ボベスパ,東証,その他,183,184,181,182,136400,24811800
1326-T,SPDRゴール,東証,その他,12480,12520,12460,12510,13189,164740390
1327-T,EASY商品,東証,その他,4410,4450,4400,4450,457,2029710
1328-T,金連動,東証,その他,3690,3710,3665,3700,8790,32418200
1329-T,iS225,東証,その他,15170,15230,14690,14770,18610,277474700
1330-T,上場225,東証,その他,15170,15220,14650,14860,930560,13861242000
1332-T,日水,東証1部,水産・農林業,218,218,207,210,1941200,409967900
1334-T,マルハニチロHD,東証1部,水産・農林業,204,204,200,200,1291000,260352000
1343-T,REIT-ETF,東証,その他,1470,1473,1448,1450,241970,352692880
1344-T,MXSコア30,東証,その他,640,640,625,630,64190,40874300
1345-T,上場Jリート,東証,その他,1399,1399,1375,1375,86500,119717600
1346-T,MXS225,東証,その他,15180,15240,14680,14880,114264,1705588580
1347-T,上場グリチ,東証,その他,-,-,-,-,0,0
1348-T,MXSトピクス,東証,その他,1250,1250,1216,1229,123300,151997220
1349-T,アジア債券,東証,その他,12280,12280,12270,12280,558,6846950
1352-T,ホウスイ,東証1部,卸売業,123,123,120,120,105000,12729000
1376-T,カネコ種,東証JQスタンダード,水産・農林業,950,950,917,920,42400,39545500
1377-T,サカタのタネ,東証1部,水産・農林業,1431,1437,1400,1403,191200,270684600
1378-T,雪国マイタケ,東証2部,水産・農林業,241,242,238,242,18300,4396400
1379-T,ホクト,東証1部,水産・農林業,1820,1820,1791,1797,57100,103050900
1380-T,秋川牧園,東証JQスタンダード,水産・農林業,-,-,-,-,0,0
1381-T,アクシーズ,東証JQスタンダード,水産・農林業,760,760,756,756,600,455600
1382-T,ホーブ,東証JQスタンダード,水産・農林業,99000,99000,99000,99000,4,396000
1383-T,ベルグアース,東証JQスタンダード,水産・農林業,1671,1700,1610,1666,18000,29810500
